Field Contact Key,Day of the Week,Field Contact Date,Reason Code Description,Age,Race,Sex,Pat Down,Enforcement,Police Beat,Street Number,Street Name,City
12170,Sun,12/30/2018 01:09:00 PM,TRAF STOP/GANG NARC,27,Black,Male,Yes,NONE,78,400,HOWARD ST,EVANSTON
12140,Sun,12/30/2018 03:50:00 AM,TRAFFIC STOP,31,Black,Male,Yes,,73,1000,DAVIS ST,EVANSTON
12145,Sat,12/29/2018 08:02:00 PM,OTHER,30,Black,Male,Yes,ARREST,,1700,ORRINGTON AV,EVANSTON
12146,Sat,12/29/2018 07:16:00 PM,STREET STOP,18,Black,Male,Yes,NONE,,7500,WESTERN,CHICAGO
12147,Sat,12/29/2018 04:42:00 PM,STREET STOP/SUSP PERSON,52,Black,Male,Yes,NONE,74,1800,LAKE ST,EVANSTON
12139,Thu,12/27/2018 04:55:00 PM,TRAFFIC STOP,18,Asian,Male,Yes,,71,600,DEWEY AV,EVANSTON
12136,Thu,12/27/2018 12:49:00 PM,TRAF STOP/GANG NARC,24,Black,Male,Yes,,74,1900,GREENLEAF ST/DODGE AV,EVANSTON
12131,Wed,12/19/2018 06:03:00 PM,OTHER,25,White,Male,Yes,NONE,71,2400,MAIN ST,EVANSTON
12125,Wed,12/19/2018 04:11:00 AM,TRAFFIC STOP,22,White,Male,Yes,NONE,74,1000,ASBURY AV,EVANSTON
12127,Wed,12/19/2018 03:39:00 AM,TRAFFIC STOP,23,Black,Male,Yes,NONE,99,,HOWARD/HOYNE,
12128,Wed,12/19/2018 12:16:00 AM,STREET STOP/SUSP PERSON,22,Black,Male,Yes,NONE,72,600,SOUTH BLVD,
12129,Mon,12/17/2018 02:05:00 PM,TRAF STOP/GANG NARC,37,Black,Male,Yes,NONE,77,1800,CHURCH ST/DARROW AV,EVANSTON
12122,Mon,12/17/2018 12:49:00 AM,TRAFFIC STOP,16,Black,Male,Yes,NONE,77,1600,EMERSON ST,EVANSTON
12138,Sat,12/15/2018 03:41:00 PM,TRAF STOP/GANG NARC,49,White,Male,Yes,ARREST,99,7600,N WESTERN AV,CHICAGO
12124,Sat,12/15/2018 03:39:00 PM,GANG/NARCOTIC,34,White,Male,Yes,ARREST,78,100,ASBURY AV,EVANSTON
12116,Fri,12/14/2018 02:41:00 AM,STREET STOP/SUSP PERSON,36,Black,Male,Yes,NONE,76,1400,NOYES ST,EVANSTON
12115,Thu,12/13/2018 03:37:00 AM,STREET STOP,31,Black,Male,Yes,NONE,71,300,DODGE AV,EVANSTON
12121,Wed,12/12/2018 08:58:00 PM,STREET STOP/SUSP PERSON,35,Black,Male,Yes,NONE,73,1100,CHICAGO AV,EVANSTON
12120,Wed,12/12/2018 07:35:00 PM,TRAF STOP/GANG NARC,26,Black,Male,Yes,NONE,78,200,CUSTER AV,EVANSTON
12119,Wed,12/12/2018 03:42:00 PM,OTHER,62,White,Female,Yes,NONE,76,2100,RIDGE AV,EVANSTON
12110,Mon,12/10/2018 01:32:00 AM,TRAFFIC STOP,24,White,Male,Yes,,77,1600,CHURCH ST,EVANSTON
12107,Fri,12/07/2018 02:40:00 AM,TRAFFIC STOP,21,Black,Male,Yes,,71,2300,HOWARD ST,EVANSTON
12099,Mon,12/03/2018 11:31:00 AM,TRAF STOP/GANG NARC,25,Black,Male,Yes,NONE,74,1600,DODGE AV,EVANSTON
12100,Mon,12/03/2018 11:31:00 AM,TRAF STOP/GANG NARC,36,Black,Female,Yes,NONE,74,1600,DODGE AV,EVANSTON
12096,Sun,12/02/2018 08:30:00 PM,TRAF STOP/GANG NARC,32,Black,Male,Yes,NONE,77,1900,FOSTER ST,EVANSTON
12098,Sat,12/01/2018 12:02:00 AM,TRAFFIC STOP,20,Black,Male,Yes,NONE,78,500,BARTON AV/OAKTON ST,EVANSTON
12105,Fri,11/30/2018 07:38:00 PM,TRAF STOP/GANG NARC,19,White,Male,Yes,,99,7600,N SHERIDAN,CHICAGO
