Total_population,Per_White,Per_Black,Per_BS,Per_MS,Median_Income,distances,data$State,data$Place
75557,0.6681048744656353,0.1690114747806292,0.1837817806424289,0.15102505393279247,74901,0,Illinois,Evanston city
81235,0.6463839478057487,0.1975626269465132,0.21347941158367698,0.13387086846802487,76637,1.2628344475056987,Michigan,Farmington Hills city
14250,0.6800701754385965,0.10224561403508772,0.2,0.15375438596491228,75913,1.6689587842119213,New Jersey,Highland Park borough
58766,0.7751931388898342,0.1364734710546915,0.18612803321648572,0.12896913181091108,82062,1.759849743470186,Maryland,Towson CDP
52229,0.6860556395872025,0.19789771965766145,0.21193206839112372,0.17174366731126386,87271,1.9481646419654686,Illinois,Oak Park village
9322,0.6608024029178288,0.19148251448187084,0.19180433383394122,0.1508260030036473,54607,1.9667979195462648,Maryland,Leisure World CDP
66420,0.579223125564589,0.10663956639566395,0.19271303824149352,0.14852454080096356,100436,2.047786645834816,Maryland,Rockville city
58835,0.6554771819495199,0.08831477861816946,0.21930823489419562,0.14085153395087957,88667,2.0554576726589957,Michigan,Novi city
22989,0.7109922136674062,0.03945365174648745,0.19422332419852972,0.14241593805733177,74568,2.112937501197801,Michigan,Okemos CDP
120179,0.601760706945473,0.08557235457109812,0.2100366952628995,0.1402241656196174,75709,2.120453104055109,California,Berkeley city
373,0.7801608579088471,0.19839142091152814,0.1742627345844504,0.1447721179624665,80250,2.2397533123184274,Mississippi,Taylor village
16687,0.6749565530053335,0.17750344579612873,0.180559717145083,0.10025768562353929,76784,2.2536529910196674,Illinois,Westchester village
83336,0.6920538542766631,0.0376667946625708,0.21449313621964097,0.1459153307094173,93017,2.2640787088244254,Michigan,Troy city
62832,0.7355805958747135,0.06433027756557168,0.1911287242169595,0.12089381207028266,83249,2.279243226946931,Massachusetts,Waltham city
67417,0.48210392037616623,0.18045893469006333,0.18053309995995076,0.11783378079712832,85773,2.288023034430519,Maryland,Gaithersburg city
58404,0.5970481473871653,0.12540236970070542,0.1805184576398877,0.11108828162454626,87550,2.3134273771858753,New York,White Plains city
57700,0.7711785095320624,0.08703639514731369,0.17880415944540728,0.1259792027729636,86204,2.3252203942035194,Massachusetts,Medford city
110893,0.6694110538988034,0.10835670421036495,0.19495369410152127,0.18317657561793801,89145,2.3380385309121388,Massachusetts,Cambridge city
93,0.8279569892473119,0.17204301075268819,0.17204301075268819,0.13978494623655913,72292,2.352280710699902,Mississippi,Learned town
119303,0.7202752655004484,0.06967972305809578,0.16240161605324258,0.1475486785747215,61247,2.3639775520806747,Michigan,Ann Arbor city
92126,0.6818596270325424,0.2139352625751688,0.18333586609643315,0.08536135292968326,69531,2.3642714414684,Florida,Plantation city
10560,0.671875,0.12367424242424242,0.23551136363636363,0.14659090909090908,66453,2.374130895816229,Michigan,Farmington city
59234,0.7253266704932978,0.09735962453996015,0.15700442313536145,0.11874936691764865,67426,2.3769328468587405,North Carolina,Chapel Hill town
79983,0.7717139892227098,0.06596401735368766,0.23703787054749134,0.15468287010989834,84722,2.394341038131607,Massachusetts,Somerville city
5911,0.7193368296396548,0.17357469125359498,0.22635763830147182,0.145998984943326,86399,2.3984970928974523,Pennsylvania,Wyndmoor CDP
71232,0.7298545597484277,0.06725909703504043,0.1907148472596586,0.09810197663971248,73182,2.41879589077982,Massachusetts,Framingham CDP
21099,0.7097018816057633,0.1234655670884876,0.19981989667756767,0.13896393193990236,56573,2.4326809098917717,North Carolina,Carrboro town
33426,0.7479806138933764,0.1755220487046012,0.22943217854364867,0.12714653263926284,81170,2.4640807703830436,Maryland,Pikesville CDP
7057,0.632988522034859,0.2458551792546408,0.20362760379764772,0.1400028340654669,65884,2.484452225049339,New York,Nyack village
79877,0.5995968802033126,0.19956933785695508,0.1412546790690687,0.10026665998973422,77320,2.493013580206446,New York,New Rochelle city
128851,0.6240619009553671,0.14602913442658574,0.1846085789012115,0.10864486887955856,84893,2.4958786957842753,Connecticut,Stamford city
20789,0.6421184280148156,0.18254846312953965,0.1880802347395257,0.11265573139641157,60234,2.498662519756593,Maryland,Cockeysville CDP
6656,0.7397836538461539,0.08052884615384616,0.1720252403846154,0.13792067307692307,70354,2.5013260843072214,New York,Tuckahoe village
88537,0.7316602098557665,0.1561719958887245,0.17101324869828433,0.0874662570450772,81546,2.5168588681880326,Connecticut,Norwalk city
39151,0.6399325687721897,0.22073510255165896,0.173788664401931,0.10050828842175168,81143,2.5554714210247464,Maryland,Annapolis city
69330,0.6720178854752632,0.18081638540314438,0.14925717582576084,0.08390307226308957,67828,2.5557453158270897,Maryland,Frederick city
52382,0.7135084571035852,0.09911801763964721,0.24395784811576496,0.12721927379634226,78863,2.5559599654618665,Georgia,Brookhaven city
4393,0.595265194627817,0.09401320282267243,0.19303437286592307,0.13658092419758708,82500,2.562472299723736,Virginia,Dulles Town Center CDP
577,0.7538994800693241,0.08492201039861352,0.17677642980935876,0.1386481802426343,68550,2.6044481597766946,Maryland,Bryantown CDP
36753,0.7931053247353957,0.06388594128370473,0.20216036786112698,0.16809512148668135,70567,2.610467569332096,New York,Brighton CDP
4430,0.6598194130925508,0.14695259593679458,0.18623024830699775,0.1347629796839729,102844,2.6247455033786515,Virginia,Woodbridge CDP
13445,0.6537746374116772,0.1585719598363704,0.18661212346597247,0.13023428783934549,104450,2.6271045956347603,Maryland,Kemp Mill CDP
1169,0.6655260906757913,0.17365269461077845,0.14713430282292558,0.17194183062446536,88992,2.6347579579466274,New York,Stone Ridge CDP
63929,0.6464828168749707,0.12307403525786419,0.2524675812229192,0.14084374853352938,98489,2.645696660033674,Georgia,Alpharetta city
84150,0.7266904337492572,0.17580510992275697,0.23698158051099227,0.10022578728461082,81038,2.6501739657835377,Alabama,Hoover city
79483,0.4112577532302505,0.2788646628838871,0.16198432369185864,0.13614231974132834,76608,2.6570004515643246,Maryland,Silver Spring CDP
41440,0.7646235521235522,0.14273648648648649,0.17951254826254825,0.1064430501930502,87116,2.6723142353636016,Maryland,Catonsville CDP
29095,0.7796184911496821,0.13442172194535143,0.17463481697886235,0.11527753909606461,83043,2.6747461833294413,Illinois,O'Fallon city
69099,0.6932806552916829,0.02435635826857118,0.21417097208353233,0.10654278643685147,76633,2.6815168994219634,Illinois,Palatine village
63360,0.8012310606060606,0.06483585858585858,0.20209911616161616,0.13980429292929292,95298,2.7125767133289482,Connecticut,West Hartford CDP
