Total_population,Per_White,Per_Black,Per_BS,Per_MS,Median_Income,distances,data$State,data$Place
75557,0.6681048744656353,0.1690114747806292,0.1837817806424289,0.15102505393279247,74901,0,Illinois,Evanston city
81235,0.6463839478057487,0.1975626269465132,0.21347941158367698,0.13387086846802487,76637,0.4064696622402155,Michigan,Farmington Hills city
58766,0.7751931388898342,0.1364734710546915,0.18612803321648572,0.12896913181091108,82062,0.69334467413304,Maryland,Towson CDP
52229,0.6860556395872025,0.19789771965766145,0.21193206839112372,0.17174366731126386,87271,0.7657753146378932,Illinois,Oak Park village
58835,0.6554771819495199,0.08831477861816946,0.21930823489419562,0.14085153395087957,88667,0.885619408298573,Michigan,Novi city
120179,0.601760706945473,0.08557235457109812,0.2100366952628995,0.1402241656196174,75709,0.9682865048801449,California,Berkeley city
14250,0.6800701754385965,0.10224561403508772,0.2,0.15375438596491228,75913,0.9791088101715156,New Jersey,Highland Park borough
57700,0.7711785095320624,0.08703639514731369,0.17880415944540728,0.1259792027729636,86204,1.08991128248409,Massachusetts,Medford city
59234,0.7253266704932978,0.09735962453996015,0.15700442313536145,0.11874936691764865,67426,1.1516194495984957,North Carolina,Chapel Hill town
119303,0.7202752655004484,0.06967972305809578,0.16240161605324258,0.1475486785747215,61247,1.1685580142805845,Michigan,Ann Arbor city
62832,0.7355805958747135,0.06433027756557168,0.1911287242169595,0.12089381207028266,83249,1.1861538282673605,Massachusetts,Waltham city
66420,0.579223125564589,0.10663956639566395,0.19271303824149352,0.14852454080096356,100436,1.225314975380811,Maryland,Rockville city
110893,0.6694110538988034,0.10835670421036495,0.19495369410152127,0.18317657561793801,89145,1.2890397871436177,Massachusetts,Cambridge city
21099,0.7097018816057633,0.1234655670884876,0.19981989667756767,0.13896393193990236,56573,1.290247915026333,North Carolina,Carrboro town
22989,0.7109922136674062,0.03945365174648745,0.19422332419852972,0.14241593805733177,74568,1.300643901142561,Michigan,Okemos CDP
33426,0.7479806138933764,0.1755220487046012,0.22943217854364867,0.12714653263926284,81170,1.3053085128168018,Maryland,Pikesville CDP
36753,0.7931053247353957,0.06388594128370473,0.20216036786112698,0.16809512148668135,70567,1.3217116110831124,New York,Brighton CDP
83336,0.6920538542766631,0.0376667946625708,0.21449313621964097,0.1459153307094173,93017,1.3402162660855608,Michigan,Troy city
79983,0.7717139892227098,0.06596401735368766,0.23703787054749134,0.15468287010989834,84722,1.3669272327975506,Massachusetts,Somerville city
58404,0.5970481473871653,0.12540236970070542,0.1805184576398877,0.11108828162454626,87550,1.3850265767035028,New York,White Plains city
52382,0.7135084571035852,0.09911801763964721,0.24395784811576496,0.12721927379634226,78863,1.4413156844318342,Georgia,Brookhaven city
7057,0.632988522034859,0.2458551792546408,0.20362760379764772,0.1400028340654669,65884,1.4437248894739272,New York,Nyack village
9322,0.6608024029178288,0.19148251448187084,0.19180433383394122,0.1508260030036473,54607,1.4517024397560192,Maryland,Leisure World CDP
33657,0.809222450010399,0.06272097929108358,0.19466975666280417,0.14006001723267078,85619,1.4546470912833316,New York,Long Beach city
373,0.7801608579088471,0.19839142091152814,0.1742627345844504,0.1447721179624665,80250,1.497643498292164,Mississippi,Taylor village
39432,0.6244167173868939,0.07714546561168593,0.22613613308987623,0.1281446540880503,86997,1.497679534700346,California,Culver City city
6656,0.7397836538461539,0.08052884615384616,0.1720252403846154,0.13792067307692307,70354,1.5071916754615526,New York,Tuckahoe village
63360,0.8012310606060606,0.06483585858585858,0.20209911616161616,0.13980429292929292,95298,1.523528320546597,Connecticut,West Hartford CDP
4393,0.595265194627817,0.09401320282267243,0.19303437286592307,0.13658092419758708,82500,1.548324869805737,Virginia,Dulles Town Center CDP
67417,0.48210392037616623,0.18045893469006333,0.18053309995995076,0.11783378079712832,85773,1.5546883372868154,Maryland,Gaithersburg city
10560,0.671875,0.12367424242424242,0.23551136363636363,0.14659090909090908,66453,1.5770969442413965,Michigan,Farmington city
22022,0.689265280174371,0.2166469893742621,0.21010807374443738,0.1259195350104441,92263,1.5780025069686323,Georgia,Decatur city
5911,0.7193368296396548,0.17357469125359498,0.22635763830147182,0.145998984943326,86399,1.5830971025766747,Pennsylvania,Wyndmoor CDP
29095,0.7796184911496821,0.13442172194535143,0.17463481697886235,0.11527753909606461,83043,1.5883206523104403,Illinois,O'Fallon city
73458,0.8032889542323505,0.043575920934411504,0.21887336981676606,0.13428081352609655,87475,1.6269287392713476,Michigan,Rochester Hills city
47079,0.7398840247243994,0.14826143291063956,0.221733681683978,0.11707980203487754,92197,1.6566168659615632,Alabama,Madison city
577,0.7538994800693241,0.08492201039861352,0.17677642980935876,0.1386481802426343,68550,1.694990619853767,Maryland,Bryantown CDP
19327,0.754954209137476,0.0704713613080147,0.17804108242355254,0.13312981838878254,91161,1.70752678338086,New York,Mamaroneck village
5560,0.7320143884892086,0.07877697841726619,0.220863309352518,0.15575539568345323,68654,1.7209306829573001,Minnesota,Falcon Heights city
11743,0.742910670186494,0.119475432172358,0.18095886911351444,0.12032700332112747,86026,1.7356841759474428,Ohio,Beachwood city
40479,0.6335136737567628,0.2461276217297858,0.18493539860174413,0.11986462116158995,97469,1.7454169566867872,Maryland,Odenton CDP
20789,0.6421184280148156,0.18254846312953965,0.1880802347395257,0.11265573139641157,60234,1.7645423916293137,Maryland,Cockeysville CDP
93,0.8279569892473119,0.17204301075268819,0.17204301075268819,0.13978494623655913,72292,1.7802132396874468,Mississippi,Learned town
17902,0.7926488660484862,0.08842587420399955,0.21332811976315497,0.12668975533459947,79206,1.7888769124605912,New Jersey,Tinton Falls borough
128851,0.6240619009553671,0.14602913442658574,0.1846085789012115,0.10864486887955856,84893,1.804502615536168,Connecticut,Stamford city
41440,0.7646235521235522,0.14273648648648649,0.17951254826254825,0.1064430501930502,87116,1.8169118935432707,Maryland,Catonsville CDP
13193,0.8013340407792011,0.10823921776699764,0.22261805502918214,0.15985750018949443,87807,1.8693200911674295,Pennsylvania,Ardmore CDP
1169,0.6655260906757913,0.17365269461077845,0.14713430282292558,0.17194183062446536,88992,1.8943573061301913,New York,Stone Ridge CDP
63929,0.6464828168749707,0.12307403525786419,0.2524675812229192,0.14084374853352938,98489,1.899956983046231,Georgia,Alpharetta city
23068,0.7406797294954048,0.11088954395699671,0.21193861626495578,0.13299809259580372,99050,1.91994543060326,Ohio,Solon city
